epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.863,1.20378,2.41382,0.87829,0.6947,0.78808,0.79729,0.60869,0.81604,1.02229,0.81327,0.000474381,0.000474381,0.000474381
2,265.17,0.9714,1.23033,0.8272,0.76738,0.57199,0.77258,0.61128,0.71336,1.31994,0.80065,0.00093189,0.00093189,0.00093189
3,392.62,0.92627,0.98307,0.81873,0.85592,0.80264,0.88484,0.70725,0.7055,0.75738,0.79625,0.00137054,0.00137054,0.00137054
4,522.27,0.90436,0.85071,0.81825,0.81552,0.7441,0.87953,0.71919,0.66303,0.80619,0.79538,0.00134412,0.00134412,0.00134412
5,651.782,0.87566,0.80972,0.81484,0.88792,0.8398,0.94437,0.77088,0.66166,0.60902,0.79403,0.00131582,0.00131582,0.00131582
6,782.44,0.84751,0.7159,0.81231,0.81632,0.75516,0.87466,0.71569,0.6869,0.86874,0.79299,0.00128753,0.00128753,0.00128753
7,910.885,0.8316,0.67722,0.81039,0.9441,0.87627,0.9696,0.81935,0.60339,0.50264,0.78722,0.00125923,0.00125923,0.00125923
8,1039.75,0.82349,0.65704,0.80883,0.74618,0.74858,0.90742,0.7524,0.62094,0.89219,0.78993,0.00123094,0.00123094,0.00123094
9,1169.12,0.81201,0.64494,0.80814,0.90727,0.88652,0.97292,0.81244,0.61663,0.52022,0.78746,0.00120265,0.00120265,0.00120265
10,1299.23,0.78568,0.60881,0.80481,0.8999,0.88881,0.96259,0.81382,0.58193,0.50154,0.78479,0.00117435,0.00117435,0.00117435
11,1428.51,0.77882,0.58339,0.80285,0.93513,0.90548,0.97682,0.83197,0.58659,0.45669,0.78444,0.00114606,0.00114606,0.00114606
12,1554.21,0.77236,0.57905,0.80393,0.94547,0.91174,0.9774,0.83863,0.54899,0.42233,0.78251,0.00111776,0.00111776,0.00111776
13,1682.65,0.76148,0.55403,0.79855,0.94789,0.93442,0.98275,0.84425,0.56485,0.41281,0.78268,0.00108947,0.00108947,0.00108947
14,1810.75,0.75379,0.54028,0.80187,0.87847,0.805,0.93244,0.80745,0.54289,0.62051,0.77978,0.00106118,0.00106118,0.00106118
15,1940.67,0.75004,0.51988,0.80056,0.92384,0.91398,0.96274,0.83017,0.5346,0.44082,0.77938,0.00103288,0.00103288,0.00103288
16,2063.96,0.73281,0.51968,0.79987,0.95422,0.94246,0.9892,0.85659,0.53679,0.41871,0.78028,0.00100459,0.00100459,0.00100459
17,2190.8,0.73295,0.49896,0.79856,0.94953,0.93926,0.9823,0.85168,0.53054,0.39364,0.77895,0.000976293,0.000976293,0.000976293
18,2318.16,0.72108,0.5012,0.79784,0.89892,0.88359,0.97556,0.8497,0.51866,0.532,0.77934,0.000947999,0.000947999,0.000947999
19,2446.86,0.72939,0.50771,0.79912,0.94944,0.95234,0.98717,0.85882,0.52603,0.37434,0.78008,0.000919704,0.000919704,0.000919704
20,2571.92,0.71905,0.4823,0.79727,0.94259,0.92251,0.98119,0.86448,0.50093,0.40115,0.77983,0.00089141,0.00089141,0.00089141
21,2700.45,0.70611,0.46015,0.79757,0.95327,0.95173,0.98744,0.86904,0.49911,0.3526,0.77685,0.000863116,0.000863116,0.000863116
22,2827.08,0.70977,0.45703,0.79489,0.94316,0.93945,0.97707,0.84816,0.50935,0.39958,0.77792,0.000834822,0.000834822,0.000834822
23,2954.06,0.69392,0.44914,0.79644,0.94697,0.93111,0.98495,0.86833,0.50396,0.35878,0.77751,0.000806528,0.000806528,0.000806528
24,3077.75,0.69585,0.45542,0.79546,0.90845,0.86717,0.9701,0.85046,0.49757,0.46898,0.77655,0.000778233,0.000778233,0.000778233
25,3203.83,0.68116,0.43476,0.79296,0.98442,0.96443,0.99108,0.87751,0.49019,0.31434,0.77335,0.000749939,0.000749939,0.000749939
26,3333.55,0.69433,0.44342,0.79427,0.92069,0.9231,0.97737,0.86694,0.46648,0.40329,0.77479,0.000721645,0.000721645,0.000721645
27,3462.74,0.68709,0.43963,0.79242,0.98226,0.97171,0.99326,0.87954,0.48295,0.29878,0.7744,0.000693351,0.000693351,0.000693351
28,3588.15,0.67864,0.41012,0.7949,0.97033,0.971,0.99003,0.87561,0.48634,0.30895,0.77509,0.000665057,0.000665057,0.000665057
29,3715.63,0.67493,0.41576,0.79356,0.93853,0.92159,0.98288,0.86981,0.47546,0.3711,0.77448,0.000636762,0.000636762,0.000636762
30,3843.59,0.66829,0.41491,0.79148,0.97539,0.96608,0.99125,0.87701,0.48128,0.31392,0.77472,0.000608468,0.000608468,0.000608468
31,3971.28,0.6697,0.40565,0.79418,0.98051,0.96723,0.99311,0.87528,0.48317,0.30413,0.77344,0.000580174,0.000580174,0.000580174
